season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400059,2,1610612758,4,5,5,2,0
2024-25,22400059,3,1610612745,6,9,6,1,0
2024-25,22400059,3,1610612758,5,4,3,2,0
2024-25,22400059,4,1610612745,3,3,3,1,0
2024-25,22400059,4,1610612758,7,11,4,1,3
2024-25,22400060,1,1610612746,4,8,5,1,0
2024-25,22400060,1,1610612757,2,4,3,0,0
2024-25,22400060,2,1610612746,3,2,2,1,1
2024-25,22400060,2,1610612757,2,3,3,0,0
2024-25,22400060,3,1610612746,4,6,6,0,1
2024-25,22400060,3,1610612757,4,3,3,2,0
2024-25,22400060,4,1610612746,4,1,1,2,1
2024-25,22400060,4,1610612757,4,6,4,1,0
2024-25,22400061,1,1610612738,2,2,1,1,0
2024-25,22400061,1,1610612752,3,3,1,1,0
2024-25,22400061,2,1610612738,2,2,2,1,0
2024-25,22400061,2,1610612752,4,7,6,0,0
2024-25,22400061,3,1610612738,4,2,2,3,0
2024-25,22400061,3,1610612752,3,4,3,1,0
2024-25,22400061,4,1610612738,4,2,2,2,1
2024-25,22400061,4,1610612752,4,2,2,1,2
2024-25,22400062,1,1610612747,3,4,4,1,0
2024-25,22400062,1,1610612750,4,4,1,1,1
2024-25,22400062,2,1610612747,5,5,4,3,0
2024-25,22400062,2,1610612750,4,3,2,2,0
2024-25,22400062,3,1610612747,4,7,6,0,0
2024-25,22400062,3,1610612750,8,13,11,4,1
2024-25,22400062,4,1610612747,8,9,7,4,1
2024-25,22400062,4,1610612750,6,7,6,2,2
2024-25,22400063,1,1610612754,4,8,7,0,0
2024-25,22400063,1,1610612765,3,6,6,0,0
2024-25,22400063,2,1610612754,4,2,2,2,1
2024-25,22400063,2,1610612765,6,7,6,3,1
2024-25,22400063,3,1610612754,5,4,4,1,2
2024-25,22400063,3,1610612765,4,5,4,1,0
2024-25,22400063,4,1610612754,6,11,9,2,0
